2026-02-15T16:49:53+0000 | INFO     | ppf | raw_dir=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw
2026-02-15T16:49:53+0000 | INFO     | ppf | inputs: pdf_files=5 ptr_pdfs=3 annual_pdfs=1 png_files=0
2026-02-15T16:49:53+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Annual Report for 2025 - Tache, Joseph.pdf
2026-02-15T16:49:53+0000 | INFO     | ppf | PDF pages extracted: eFD_ Annual Report for 2025 - Tache, Joseph.pdf rows=5
2026-02-15T16:49:53+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Periodic Transaction Report.pdf
2026-02-15T16:49:53+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Periodic Transaction Report.pdf rows=1
2026-02-15T16:49:53+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Periodic Transaction Report2.pdf
2026-02-15T16:49:54+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Periodic Transaction Report2.pdf rows=5
2026-02-15T16:49:54+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Periodic Transaction Report3.pdf
2026-02-15T16:49:54+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Periodic Transaction Report3.pdf rows=1
2026-02-15T16:49:54+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Report5.pdf
2026-02-15T16:49:54+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Report5.pdf rows=11
2026-02-15T16:49:54+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/data/processed/pdf_pages.csv rows=23
2026-02-15T16:49:54+0000 | INFO     | ppf | Parsing PTR PDF: eFD_ Print Periodic Transaction Report.pdf
2026-02-15T16:49:54+0000 | INFO     | ppf | Header scan page=1 official_name=Whitehouse, Sheldon filing_datetime=2026-02-04T13:40:00
2026-02-15T16:49:54+0000 | INFO     | ppf | PTR parsed: eFD_ Print Periodic Transaction Report.pdf rows=6
2026-02-15T16:49:54+0000 | INFO     | ppf | Parsing PTR PDF: eFD_ Print Periodic Transaction Report2.pdf
2026-02-15T16:49:54+0000 | INFO     | ppf | Header scan page=1 official_name=Mullin, Markwayne filing_datetime=2026-02-04T16:58:00
2026-02-15T16:49:55+0000 | WARNING  | ppf | No PTR rows parsed on file=eFD_ Print Periodic Transaction Report2.pdf page=2 (tables=1).
2026-02-15T16:49:55+0000 | WARNING  | ppf | No PTR rows parsed on file=eFD_ Print Periodic Transaction Report2.pdf page=3 (tables=1).
2026-02-15T16:49:55+0000 | WARNING  | ppf | No PTR rows parsed on file=eFD_ Print Periodic Transaction Report2.pdf page=4 (tables=1).
2026-02-15T16:49:55+0000 | INFO     | ppf | PTR parsed: eFD_ Print Periodic Transaction Report2.pdf rows=15
2026-02-15T16:49:55+0000 | INFO     | ppf | Parsing PTR PDF: eFD_ Print Periodic Transaction Report3.pdf
2026-02-15T16:49:55+0000 | INFO     | ppf | Header scan page=1 official_name=Hickenlooper, John filing_datetime=2026-02-06T15:19:00
2026-02-15T16:49:55+0000 | INFO     | ppf | PTR parsed: eFD_ Print Periodic Transaction Report3.pdf rows=4
2026-02-15T16:49:55+0000 | INFO     | ppf | Extracting annual tables: eFD_ Annual Report for 2025 - Tache, Joseph.pdf
2026-02-15T16:49:56+0000 | INFO     | ppf | Annual tables extracted: eFD_ Annual Report for 2025 - Tache, Joseph.pdf rows=36
2026-02-15T16:49:56+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/data/processed/annual_table_rows.csv rows=36
2026-02-15T16:49:56+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_transactions_unified.csv rows=25
2026-02-15T16:49:56+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_superset_all_records.csv rows=84
2026-02-15T16:49:56+0000 | INFO     | ppf | Wrote manifest: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/extraction_manifest.json
2026-02-15T16:49:56+0000 | INFO     | ppf | === PPF Extractor end ===
2026-02-15T16:55:11+0000 | INFO     | ppf | === PPF Extractor start ===
2026-02-15T16:55:11+0000 | INFO     | ppf | run_id=20260215T165511Z log_path=/home/vboxuser/work/ppf/ppf/temp/ppf/logs/ppf_extract.log
2026-02-15T16:55:11+0000 | INFO     | ppf | opencv_available=True pytesseract_available=True
2026-02-15T16:55:11+0000 | INFO     | ppf | project_root=/home/vboxuser/work/ppf/ppf/temp/ppf
2026-02-15T16:55:11+0000 | INFO     | ppf | raw_dir=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw
2026-02-15T16:55:11+0000 | INFO     | ppf | inputs: pdf_files=5 ptr_pdfs=3 annual_pdfs=1 png_files=0
2026-02-15T16:55:11+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Annual Report for 2025 - Tache, Joseph.pdf
2026-02-15T16:55:11+0000 | INFO     | ppf | PDF pages extracted: eFD_ Annual Report for 2025 - Tache, Joseph.pdf rows=5
2026-02-15T16:55:11+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Periodic Transaction Report.pdf
2026-02-15T16:55:11+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Periodic Transaction Report.pdf rows=1
2026-02-15T16:55:11+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Periodic Transaction Report2.pdf
2026-02-15T16:55:12+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Periodic Transaction Report2.pdf rows=5
2026-02-15T16:55:12+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Periodic Transaction Report3.pdf
2026-02-15T16:55:12+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Periodic Transaction Report3.pdf rows=1
2026-02-15T16:55:12+0000 | INFO     | ppf | Extracting PDF pages (text+tables): eFD_ Print Report5.pdf
2026-02-15T16:55:12+0000 | INFO     | ppf | PDF pages extracted: eFD_ Print Report5.pdf rows=11
2026-02-15T16:55:12+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/data/processed/pdf_pages.csv rows=23
2026-02-15T16:55:12+0000 | INFO     | ppf | Parsing PTR PDF: eFD_ Print Periodic Transaction Report.pdf
2026-02-15T16:55:12+0000 | INFO     | ppf | Header scan page=1 official_name=Whitehouse, Sheldon filing_datetime=2026-02-04T13:40:00
2026-02-15T16:55:12+0000 | INFO     | ppf | PTR parsed: eFD_ Print Periodic Transaction Report.pdf rows=6
2026-02-15T16:55:12+0000 | INFO     | ppf | Parsing PTR PDF: eFD_ Print Periodic Transaction Report2.pdf
2026-02-15T16:55:13+0000 | INFO     | ppf | Header scan page=1 official_name=Mullin, Markwayne filing_datetime=2026-02-04T16:58:00
2026-02-15T16:55:13+0000 | WARNING  | ppf | No PTR rows parsed on file=eFD_ Print Periodic Transaction Report2.pdf page=2 (tables=1).
2026-02-15T16:55:13+0000 | WARNING  | ppf | No PTR rows parsed on file=eFD_ Print Periodic Transaction Report2.pdf page=3 (tables=1).
2026-02-15T16:55:13+0000 | WARNING  | ppf | No PTR rows parsed on file=eFD_ Print Periodic Transaction Report2.pdf page=4 (tables=1).
2026-02-15T16:55:13+0000 | INFO     | ppf | PTR parsed: eFD_ Print Periodic Transaction Report2.pdf rows=15
2026-02-15T16:55:13+0000 | INFO     | ppf | Parsing PTR PDF: eFD_ Print Periodic Transaction Report3.pdf
2026-02-15T16:55:13+0000 | INFO     | ppf | Header scan page=1 official_name=Hickenlooper, John filing_datetime=2026-02-06T15:19:00
2026-02-15T16:55:13+0000 | INFO     | ppf | PTR parsed: eFD_ Print Periodic Transaction Report3.pdf rows=4
2026-02-15T16:55:13+0000 | INFO     | ppf | Extracting annual tables: eFD_ Annual Report for 2025 - Tache, Joseph.pdf
2026-02-15T16:55:14+0000 | INFO     | ppf | Annual tables extracted: eFD_ Annual Report for 2025 - Tache, Joseph.pdf rows=36
2026-02-15T16:55:14+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/data/processed/annual_table_rows.csv rows=36
2026-02-15T16:55:14+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_transactions_unified.csv rows=25
2026-02-15T16:55:14+0000 | INFO     | ppf | Wrote: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_superset_all_records.csv rows=84
2026-02-15T16:55:14+0000 | INFO     | ppf | Wrote manifest: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/extraction_manifest.json
2026-02-15T16:55:14+0000 | INFO     | ppf | === PPF Extractor end ===
